dimension_id,KEY,NAME,parent_key,FULLNAME,UNIT,TIMESTAMP,SOURCES,METHODOLOGY,COMMENT,VISIBILITY,ISCALCULATED
RDS_DICT_INDICATORS_NSO,27524079,Fourrages,27524009,"Superficie des terres labourables totale, consacrée à la production des fourrages",Hectar,13/05/2022 11:43:39,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524089,Annuels,27524079,"Superficie des terres labourables totale, consacrée à la production des fourrages annuels",Hectar,13/05/2022 11:43:39,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524099,Pluriannuels,27524079,"Superficie des terres labourables totale, consacrée à la production des fourrages pluriannuels",Hectar,13/05/2022 11:43:39,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524109,Légumes,27524009,"Superficie des terres labourables totale, consacrée à la cultuvation des légumes",Hectar,13/05/2022 11:43:39,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524119,Légumineuses en sec,27524009,"Superficie des terres labourables totale, consacrée à la cultuvation des légumineuses",Hectar,13/05/2022 11:43:39,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524129,Féves et févroles,27524009,"Superficie des terres labourables totale, consacrée à la cultuvation des féves et févroles",Hectar,13/05/2022 11:43:40,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524139,Petit poids et poichiches,27524009,"Superficie des terres labourables totale, consacrée à la cultuvation des petit poids et poichiches",Hectar,13/05/2022 11:43:40,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524149,Autres légumineuses,27524009,"Superficie des terres labourables totale, consacrée à la cultuvation des autres légumineuses",Hectar,13/05/2022 11:43:40,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524159,Arboriculture fruitière,27524009,"Superficie des terres labourables totale, consacrée à la cultuvation des arboricultures fruitières",Hectar,13/05/2022 11:43:40,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523449,Production végétale,11920516,Production agricole végétale,,03/07/2015 12:29:15,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524169,Evolution des superficies ensemencées en céréales,27523449,Evolution des superficies ensemencées en céréales,Hectar,18/03/2024 13:44:19,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524179,Blé dur,27524169,Evolution des superficies ensemencées en blé dur,Hectar,18/03/2024 13:44:19,Ministère  de l'Agriculture,,,"1, 2",
