dimension_id,KEY,NAME,parent_key,C_UNIT_,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE,VISIBILITY,ISCALCULATED
OBJ5260119,27914969,Charges sociales payées par les employeurs,27914889,,Opérations de répartition\Rémunération des salariés\Charges sociales payées par les employeurs,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27914979,Impôts indirects,27914879,,Opérations de répartition\Impôts indirects,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27914989,Impôts indirects liés à la production,27914979,,Opérations de répartition\Impôts indirects\Impôts indirects liés à la production,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27914999,Impôts indirects sur les produits,27914979,,Opérations de répartition\Impôts indirects\Impôts indirects sur les produits,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915009,Dont impôts sur les importations,27914999,,Opérations de répartition\Impôts indirects\Impôts indirects sur les produits\Dont impôts sur les importations,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915019,Subventions d'exploitation,27914879,,Opérations de répartition\Subventions d'exploitation,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915029,Intérêts dividendes et autres revenus distribués,27914879,,Opérations de répartition\Intérêts dividendes et autres revenus distribués,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915039,Intérêts,27915029,,Opérations de répartition\Intérêts dividendes et autres revenus distribués\Intérêts,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915049,Intérêts versés par les résidents,27915039,,Opérations de répartition\Intérêts dividendes et autres revenus distribués\Intérêts\Intérêts versés par les résidents,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915059,Dont versés à l'extérieur,27915049,,Dont versés à l'extérieur (Intérêts),,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915069,Intérêts reçus par les résidents,27915039,,Opérations de répartition\Intérêts dividendes et autres revenus distribués\Intérêts\Intérêts reçus par les résidents,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915079,Dont reçus de l'extérieur,27915069,,Dont reçus de l'extérieur (Intérêts),,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915089,Dividendes et autres revenus distribués,27915029,,Opérations de répartition\Intérêts dividendes et autres revenus distribués\Dividendes et autres revenus distribués,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915099,Dividendes et autres revenus versés par les résidents,27915089,,Opérations de répartition\Intérêts dividendes et autres revenus distribués\Dividendes et autres revenus distribués\Dividendes et autres revenus versés par les résidents,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915109,Dont versés à l'extérieur,27915099,,Dont versés à l'extérieur (Dividendes),,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915119,Dividendes et autres revenus reçus par les résidents,27915089,,Opérations de répartition\Intérêts dividendes et autres revenus distribués\Dividendes et autres revenus distribués\Dividendes et autres revenus reçus par les résidents,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915129,Dont reçus de l'extérieur,27915119,,Dont reçus de l'extérieur (Dividendes),,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915139,Opérations d'assurances dommage (indemnité=primes nettes),27914879,,Opérations de répartition\Opérations d'assurances dommage (indemnité=primes nettes),,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915149,Impôts directs,27914879,,Opérations de répartition\Impôts directs,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915159,Impôts sur le revenu,27915149,,Opérations de répartition\Impôts directs\Impôts sur le revenu,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915169,Autres impôts directs,27915149,,Opérations de répartition\Impôts directs\Autres impôts directs,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915179,Cotisations sociales,27914879,,Opérations de répartition\Cotisations sociales,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915189,Cotisations sociales effectives,27915179,,Opérations de répartition\Cotisations sociales\Cotisations sociales effectives,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915199,Cotisations sociales imputées,27915179,,Opérations de répartition\Cotisations sociales\Cotisations sociales imputées,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915209,Prestations sociales,27914879,,Opérations de répartition\Prestations sociales,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915219,Prestations de sécurité sociale en espèces,27915209,,Opérations de répartition\Prestations sociales\Prestations de sécurité sociale en espèces,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915229,Prestations d'assurance sociale,27915209,,Opérations de répartition\Prestations sociales\Prestations d'assurance sociale,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915239,Prestations assurance sociale directe d'employeur,27915209,,Opérations de répartition\Prestations sociales\Prestations assurance sociale directe d'employeur,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915259,Autres transferts courants,27914879,,Opérations de répartition\Autres transferts courants,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915249,Autres prestations sociales en espèces,27915259,,Opérations de répartition\Autres transferts courants\Autres prestations sociales en espèces,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915269,Transferts courants entre administrations publiques,27915259,,Opérations de répartition\Autres transferts courants\Transferts courants entre administrations publiques,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915279,Coopération internationale courante,27915259,,Opérations de répartition\Autres transferts courants\Coopération internationale courante,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915289,Autres transferts courants divers,27915259,,Opérations de répartition\Autres transferts courants\Autres transferts courants divers,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915299,Transferts en capital,27914879,,Opérations de répartition\Transferts en capital,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915309,Impôts sur le capital,27915299,,Opérations de répartition\Transferts en capital\Impôts sur le capital,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915319,Subventions d'investissement,27915299,,Opérations de répartition\Transferts en capital\Subventions d'investissement,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915329,Autres transferts en capital,27915299,,Opérations de répartition\Transferts en capital\Autres transferts en capital,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27915339,Soldes comptables,,,Soldes comptables,,,25/04/2015 04:18:12,,"1, 2",
OBJ5260119,27915349,Valeur ajoutée brute,27915339,,Soldes comptables\Valeur ajoutée brute,,,25/04/2015 04:18:12,,"1, 2",
OBJ5260119,27915359,Revenu d'exploitation,27915339,,Soldes comptables\Revenu d'exploitation,,,25/04/2015 04:18:12,,"1, 2",
OBJ5260119,27915369,Revenu disponible brut,27915339,,Soldes comptables\Revenu disponible brut,,,25/04/2015 04:18:12,,"1, 2",
OBJ5260119,27915379,Épargne brute,27915339,,Soldes comptables\Épargne brute,,,25/04/2015 04:18:12,,"1, 2",
OBJ5260119,27915389,Capacité ou besoin de financement,27915339,,Soldes comptables\Capacité ou besoin de financement,,,25/04/2015 04:18:12,,"1, 2",
OBJ5260119,27915399,Solde des créances et des dettes,27915339,,Soldes comptables\Solde des créances et des dettes,,,25/04/2015 04:18:12,,"1, 2",
OBJ5260119,27915409,Ajustement,27915339,,Soldes comptables\Ajustement,,,25/04/2015 04:18:12,,"1, 2",
