dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_CODE
OBJ7280819,28178879,Nèfle,28178759,,13241
OBJ7280819,28178889,Pèche,28178759,,13251
OBJ7280819,28178899,Prune,28178759,,13291
OBJ7280819,28178909,Dattes vertes,28178759,,13301
OBJ7280819,28178919,Autres fruits à noyaux,28178759,,13311
OBJ7280819,28178929,Dattes degla,28178759,,13321
OBJ7280819,28178939,Dattes aligh,28178759,,13331
OBJ7280819,28178949,Kenta,28178759,,13341
OBJ7280819,28178959,Dattes communes,28178759,,13351
OBJ7280819,28178969,Raisin sec,28178759,,13381
OBJ7280819,28178979,Amande sèche avec coque,28178759,,13391
OBJ7280819,28178989,Figue sèche,28178759,,13411
OBJ7280819,28178999,Autres  fruits sec,28178759,,13421
OBJ7280819,28179009,Amande verte,28178759,,13431
OBJ7280819,28179019,Banane,28178759,,13491
OBJ7280819,28179029,Fruits de cueillette,28178759,,
OBJ7280819,28179039,Autres fruits non ventilés ailleurs,28178759,,13511
OBJ7280819,28179049,fruits secs,28178759,,13531
OBJ7280819,28179059,Arachide sèche décortiquée,28179049,,13541
OBJ7280819,28179069,"Pignon, pistache, noisette, noix non décortiqué",28179049,,13551
OBJ7280819,28179079,Graine de courge et de tournesol,28179049,,13561
OBJ7280819,28179089,Graines de maïs grillé,28179049,,13571
OBJ7280819,28179099,Jeljlan (grain de sésame),28179049,,13591
OBJ7280819,28179109,Zgougou,28179049,,13611
OBJ7280819,28179119,Autres graines et noix,28179049,,
OBJ7280819,28179129,Fruits en conserve,28179049,,
OBJ7280819,28179139,total viandes,,,14011
OBJ7280819,28179149,viande ovine,28179139,,14021
OBJ7280819,28179159,Viande de mouton,28179149,,
OBJ7280819,28179169,Tête et pattes  de mouton,28179149,,14111
OBJ7280819,28179179,viande bovine,28179139,,14131
OBJ7280819,28179189,Viande de bœuf avec os,28179179,,14152
OBJ7280819,28179199,Viande de tête et pattes de  bœuf,28179179,,14621
OBJ7280819,28179209,Os de bœuf,28179179,,14631
OBJ7280819,28179219,Merguez frais,28179179,,14641
OBJ7280819,28179229,Salami de bœuf,28179179,,
OBJ7280819,28179239,Légumes farcies à la viande hachée,28179179,,14731
OBJ7280819,28179249,volailles et gibier,28179139,,14732
OBJ7280819,28179259,Poulet plumé vidé sans tête et pattes (viande de poulet),28179249,,14751
OBJ7280819,28179269,Foie de poulet,28179249,,14761
OBJ7280819,28179279,Escalope de dindon,28179249,,14771
OBJ7280819,28179289,Viande de dindon,28179249,,14783
OBJ7280819,28179299,Salami de dindon,28179249,,14792
OBJ7280819,28179309,Viande de lapin vidé,28179249,,
OBJ7280819,28179319,Autres volailles vidées,28179249,,14211
OBJ7280819,28179329,autres viandes,28179139,,14221
OBJ7280819,28179339,Viande de caprin,28179329,,14311
OBJ7280819,28179349,Tête et pattes de caprin,28179329,,14321
OBJ7280819,28179359,Viande de chameau,28179329,,14811
OBJ7280819,28179369,Viande de tête de chameau,28179329,,14831
OBJ7280819,28179379,Viande  chevaline,28179329,,14841
OBJ7280819,28179389,Viande de porc,28179329,,14911
OBJ7280819,28179399,Jambon et charcuterie,28179329,,
OBJ7280819,28179409,« knor » viandes,28179329,,14411
OBJ7280819,28179419,tripes,28179139,,14421
OBJ7280819,28179429,Tripes de mouton,28179419,,14431
OBJ7280819,28179439,Tripes de bœuf,28179419,,14441
OBJ7280819,28179449,Tripes de caprin,28179419,,14451
OBJ7280819,28179459,Tripes de chameau,28179419,,14453
OBJ7280819,28179469,Daouara de mouton,28179419,,14461
OBJ7280819,28179479,Osbène de mouton,28179419,,14463
OBJ7280819,28179489,Daouara de caprin,28179419,,14473
OBJ7280819,28179499,Osbène de caprin,28179419,,14491
OBJ7280819,28179509,Osbène sans indications,28179419,,14511
OBJ7280819,28179519,"Langue, poumons",28179419,,14521
OBJ7280819,28179529,Foie de mouton,28179419,,14531
OBJ7280819,28179539,Foie de bœuf,28179419,,14551
OBJ7280819,28179549,Foie de caprin,28179419,,
OBJ7280819,28179559,"Rognon, rognon blanc, cervelle",28179419,,
OBJ7280819,28179569,total poissons,,,15111
OBJ7280819,28179579,poissons frais,28179569,,15121
OBJ7280819,28179589,Sardine non vidée,28179579,,15131
OBJ7280819,28179599,Maquereau non vidé,28179579,,15141
OBJ7280819,28179609,Rouget non vidé,28179579,,15151
OBJ7280819,28179619,Pageau non vidé,28179579,,15161
OBJ7280819,28179629,Mulet non vidé,28179579,,15171
OBJ7280819,28179639,« sbares »,28179579,,15172
OBJ7280819,28179649,Loup de mer non  vidés,28179579,,15181
OBJ7280819,28179659,Loup de mer vidés,28179579,,15182
OBJ7280819,28179669,daurade non  vidés,28179579,,15191
OBJ7280819,28179679,daurade vidés,28179579,,15202
OBJ7280819,28179689,Autres poissons frais  non vidés,28179579,,15211
OBJ7280819,28179699,Poisons farcis (sauf calamar),28179579,,15221
OBJ7280819,28179709,Poulpe frais non nettoyé,28179579,,15231
OBJ7280819,28179719,Seiche non nettoyé,28179579,,15311
OBJ7280819,28179729,Calamar non nettoyé,28179579,,15321
OBJ7280819,28179739,Escargot,28179579,,15331
OBJ7280819,28179749,Fruits de mer,28179579,,15341
OBJ7280819,28179759,Crustacés,28179579,,
OBJ7280819,28179769,Poissons congelés,28179579,,15411
OBJ7280819,28179779,poissons en conserve,28179569,,15421
OBJ7280819,28179789,Poissons salés séchés,28179779,,15511
OBJ7280819,28179799,Poulpe séché,28179779,,15521
OBJ7280819,28179809,Thon en conserve,28179779,,15531
OBJ7280819,28179819,Sardine en conserve,28179779,,15591
OBJ7280819,28179829,Onchoua,28179779,,
OBJ7280819,28179839,Autres poisons en conserve,28179779,,
OBJ7280819,28179849,Total Lait ( équivalent  lait frais),,,16011
OBJ7280819,28179859,Lait frais,28179849,,16021
OBJ7280819,28179869,Lait de vache frais,28179859,,16031
OBJ7280819,28179879,Lait de chèvre frais,28179859,,16091
OBJ7280819,28179889,Lait de brebis frais,28179859,,
OBJ7280819,28179899,Lait frais sans indications,28179859,,16211
OBJ7280819,28179909,lait industriel,28179849,,16221
OBJ7280819,28179919,"Lait naturel entier stérilisé (en bouteille plastique ou en carton tetrabrik) exemple : (Délice, Beldi, Vitalait…)",28179909,,16231
OBJ7280819,28179929,Lait naturel demi-écrémé stérilisé,28179909,,16241
OBJ7280819,28179939,Lait naturel écrémé stérilisé (0% matière grace),28179909,,16251
OBJ7280819,28179949,Lait naturel stérilisé sans indications,28179909,,16291
OBJ7280819,28179959,Lait pasteurisé,28179909,,
OBJ7280819,28179969,Autre lait industriel  et lait industriel sans indications,28179909,,
OBJ7280819,28179979,produits laitiers (en équivalent lait frais),28179849,,16311
OBJ7280819,28179989,lait concentré,28179849,,16321
OBJ7280819,28179999,Lait concentré sucré,28179989,,16391
OBJ7280819,28180009,Lait concentré non sucré,28179989,,
OBJ7280819,28180019,Lait concentré sans autres indications,28179989,,16411
OBJ7280819,28180029,lait en poudre,28179849,,16421
OBJ7280819,28180039,Lait en poudre sucré,28180029,,16491
OBJ7280819,28180049,Lait en poudre non  sucré,28180029,,
OBJ7280819,28180059,Lait en poudre sans autres indications,28180029,,16511
OBJ7280819,28180069,yaourt (en nbre de pots),28179849,,16521
OBJ7280819,28180079,Yaourt naturel,28180069,,16531
OBJ7280819,28180089,Yaourt aromatisé,28180069,,16541
OBJ7280819,28180099,Yaourt aux fruits,28180069,,16551
OBJ7280819,28180109,"Yaourt crème-dessert ( flan, liégoise…)",28180069,,16561
OBJ7280819,28180119,"Yaourt à boire (DAN-UP, NOV-UP, YOGO…)",28180069,,
OBJ7280819,28180129,"Autres types de Yaourt (petit suisse, jockey…)",28180069,,16611
OBJ7280819,28180139,fromage,28179849,,16621
OBJ7280819,28180149,Fromage type nestlé (morceau),28180139,,16631
OBJ7280819,28180159,Fromage type gruyère,28180139,,16641
OBJ7280819,28180169,Fromage type rouge,28180139,,16651
OBJ7280819,28180179,Fromage «  gervais »,28180139,,16661
OBJ7280819,28180189,Rigouta,28180139,,16671
OBJ7280819,28180199,Jebna frais,28180139,,16691
OBJ7280819,28180209,Fromage râpé,28180139,,
OBJ7280819,28180219,Fromage sans indications,28180139,,16711
OBJ7280819,28180229,beurre,28179849,,16721
OBJ7280819,28180239,Beurre animal,28180229,,16731
OBJ7280819,28180249,"Beurre végétale (goldina, jedida…)",28180229,,16741
OBJ7280819,28180259,Smen,28180229,,16751
OBJ7280819,28180269,Crème légère,28180229,,16791
OBJ7280819,28180279,Crème chantilly,28180229,,
OBJ7280819,28180289,Autres produits laitiers,28180229,,16911
OBJ7280819,28180299,œufs (en nbre de pièces),,,16921
OBJ7280819,28180309,Œufs,28180299,,
OBJ7280819,28180319,"Produits à base d’œufs (mayonnaise, moutarde…)",28180299,,17021
OBJ7280819,28180329,sucre et sucreries,,,17031
OBJ7280819,28180339,Sucre cristallisé ou en poudre,28180329,,17041
OBJ7280819,28180349,Sucre vanillé,28180329,,17111
OBJ7280819,28180359,Sucre glace,28180329,,17121
