dimension_id,KEY,NAME,parent_key,ISO,ISCALCULATED
RDS_DICT_REGIONS_NSO,27680499,El Kabaria (1),1166,,
RDS_DICT_REGIONS_NSO,27680509,El Kabaria (2),1166,,
RDS_DICT_REGIONS_NSO,27680519,El Kabaria (3),1166,,
RDS_DICT_REGIONS_NSO,27680529,El Kabaria (4),1166,,
RDS_DICT_REGIONS_NSO,27680539,Cité Ennour,1166,,
RDS_DICT_REGIONS_NSO,27680549,Ibn Sina (1),1166,,
RDS_DICT_REGIONS_NSO,27680559,Ibn Sina (2),1166,,
RDS_DICT_REGIONS_NSO,27680569,El Mourouj (2),1166,,
RDS_DICT_REGIONS_NSO,1167,Délégation de Sidi El Béchir,11,,
RDS_DICT_REGIONS_NSO,27680579,Sidi El Béchir,1167,,
RDS_DICT_REGIONS_NSO,27680589,Sidi Mansour,1167,,
RDS_DICT_REGIONS_NSO,27680599,Mâakel Ezzaïm,1167,,
RDS_DICT_REGIONS_NSO,27680609,Farhat Hached,1167,,
RDS_DICT_REGIONS_NSO,27680619,Abulkacem Ech-chebbi,1167,,
RDS_DICT_REGIONS_NSO,27680629,Saïda Manoubia,1167,,
RDS_DICT_REGIONS_NSO,1168,Délégation de Djebel Djelloud,11,,
RDS_DICT_REGIONS_NSO,27680639,Sidi Fathallah,1168,,
RDS_DICT_REGIONS_NSO,27680649,Ali Bach-Hamba,1168,,
RDS_DICT_REGIONS_NSO,27680659,El Garjouma,1168,,
RDS_DICT_REGIONS_NSO,27680669,Cité El Fath,1168,,
RDS_DICT_REGIONS_NSO,27680679,Es-Sebkha,1168,,
RDS_DICT_REGIONS_NSO,27680689,El Afrane,1168,,
RDS_DICT_REGIONS_NSO,27680699,Djebel Djeloud,1168,,
RDS_DICT_REGIONS_NSO,1169,Délégation de La Goulette,11,,
RDS_DICT_REGIONS_NSO,27680709,La Goulette,1169,,
RDS_DICT_REGIONS_NSO,27680719,La Goulette Casino,1169,,
RDS_DICT_REGIONS_NSO,27680729,Khéireddine,1169,,
RDS_DICT_REGIONS_NSO,27680739,Taîeb Mhiri,1169,,
RDS_DICT_REGIONS_NSO,27680749,Cité Essalama,1169,,
RDS_DICT_REGIONS_NSO,1170,Délégation de Le Kram,11,,
RDS_DICT_REGIONS_NSO,27680759,Le Kram Est,1170,,
RDS_DICT_REGIONS_NSO,27680769,Erriadh,1170,,
RDS_DICT_REGIONS_NSO,27680779,El Bouhaïra,1170,,
RDS_DICT_REGIONS_NSO,27680789,Sidi Fredj,1170,,
RDS_DICT_REGIONS_NSO,27680799,Le Kram Ouest,1170,,
RDS_DICT_REGIONS_NSO,27680809,Sidi Amor,1170,,
RDS_DICT_REGIONS_NSO,27680819,Bir El Helou,1170,,
RDS_DICT_REGIONS_NSO,1171,Délégation de La Marsa,11,,
RDS_DICT_REGIONS_NSO,27680829,La Marsa Plage,1171,,
RDS_DICT_REGIONS_NSO,27680839,La Marsa Medina,1171,,
RDS_DICT_REGIONS_NSO,27680849,La Marsa Hadayek,1171,,
RDS_DICT_REGIONS_NSO,27680859,La Marsa Erriadh,1171,,
RDS_DICT_REGIONS_NSO,27680869,Er-Rmila,1171,,
RDS_DICT_REGIONS_NSO,27680879,La Marsa El Montazeh,1171,,
RDS_DICT_REGIONS_NSO,27680889,Gammarth,1171,,
RDS_DICT_REGIONS_NSO,27680899,Gammarth Supérieur,1171,,
RDS_DICT_REGIONS_NSO,27680909,Sidi Daoued,1171,,
RDS_DICT_REGIONS_NSO,27680919,El Bahr El Azrak,1171,,
RDS_DICT_REGIONS_NSO,12,Gouvernorat de L'Ariana,1,TN-12,
RDS_DICT_REGIONS_NSO,1251,Délégation de L'Ariana Ville,12,,
RDS_DICT_REGIONS_NSO,27680929,La nouvelle Ariana,1251,,
RDS_DICT_REGIONS_NSO,27680939,Ariana supérieur,1251,,
RDS_DICT_REGIONS_NSO,27680949,L'Ariana Ville,1251,,
RDS_DICT_REGIONS_NSO,27680959,El Menzah V,1251,,
RDS_DICT_REGIONS_NSO,27680969,El Menzah VI,1251,,
RDS_DICT_REGIONS_NSO,27680979,Etâamir,1251,,
RDS_DICT_REGIONS_NSO,27680989,El Yasmina,1251,,
RDS_DICT_REGIONS_NSO,27680999,Ennasr 1,1251,,
RDS_DICT_REGIONS_NSO,27681009,Ennasr 2,1251,,
RDS_DICT_REGIONS_NSO,1252,Délégation de Soukra,12,,
RDS_DICT_REGIONS_NSO,27681019,Soukra,1252,,
RDS_DICT_REGIONS_NSO,27681029,Dar Fadhal,1252,,
RDS_DICT_REGIONS_NSO,27681039,El Bessatine,1252,,
RDS_DICT_REGIONS_NSO,27681049,Chotrana,1252,,
RDS_DICT_REGIONS_NSO,27681059,Borj El Ouzir,1252,,
RDS_DICT_REGIONS_NSO,27681069,Ennasim,1252,,
RDS_DICT_REGIONS_NSO,27681079,Ettaamir,1252,,
RDS_DICT_REGIONS_NSO,1253,Délégation de Raoued,12,,
RDS_DICT_REGIONS_NSO,27681089,Jaafer,1253,,
RDS_DICT_REGIONS_NSO,27681099,Enkhilet,1253,,
RDS_DICT_REGIONS_NSO,27681109,El Medina El Fadhila,1253,,
RDS_DICT_REGIONS_NSO,27681119,El Ghazala,1253,,
RDS_DICT_REGIONS_NSO,27681129,Raoued,1253,,
RDS_DICT_REGIONS_NSO,27681139,Bourj Ettouil,1253,,
RDS_DICT_REGIONS_NSO,27681149,Sidi Amor Bou Khtioua,1253,,
RDS_DICT_REGIONS_NSO,1254,Délégation de Kalaât El Andalous,12,,
RDS_DICT_REGIONS_NSO,27681159,Kalaat El Andalous Est,1254,,
RDS_DICT_REGIONS_NSO,27681169,Kalaat El Andalous Ouest,1254,,
RDS_DICT_REGIONS_NSO,27681179,Pont de Bizerte,1254,,
RDS_DICT_REGIONS_NSO,27681189,Bou Hanach,1254,,
RDS_DICT_REGIONS_NSO,27681199,El Hessiane,1254,,
RDS_DICT_REGIONS_NSO,27681209,Ennahli,1254,,
RDS_DICT_REGIONS_NSO,1255,Délégation de Sidi Thabet,12,,
RDS_DICT_REGIONS_NSO,27681219,Sidi Thabet,1255,,
RDS_DICT_REGIONS_NSO,27681229,Bejaoua,1255,,
RDS_DICT_REGIONS_NSO,27681239,Mongi Slim,1255,,
RDS_DICT_REGIONS_NSO,27681249,Cebalet Ben Ammar,1255,,
RDS_DICT_REGIONS_NSO,27681259,Chorfech,1255,,
RDS_DICT_REGIONS_NSO,1256,Délégation de Cité Ettadhamen,12,,
RDS_DICT_REGIONS_NSO,27681269,Cité Ettadhamen,1256,,
RDS_DICT_REGIONS_NSO,27681279,Ibn khaldoun,1256,,
RDS_DICT_REGIONS_NSO,27681289,09-avr.,1256,,
RDS_DICT_REGIONS_NSO,27681299,18-janv.,1256,,
RDS_DICT_REGIONS_NSO,27681309,20-mars,1256,,
RDS_DICT_REGIONS_NSO,27681319,Mongi Slim,1256,,
RDS_DICT_REGIONS_NSO,27681329,14 janvier,1256,,
RDS_DICT_REGIONS_NSO,27681339,Abulkassem Ech-Chebbi,1256,,
RDS_DICT_REGIONS_NSO,27681349,Khaireddine Pacha,1256,,
RDS_DICT_REGIONS_NSO,1257,Délégation de El Mnihla,12,,
RDS_DICT_REGIONS_NSO,27681359,El Mnihla,1257,,
RDS_DICT_REGIONS_NSO,27681369,Errafaha,1257,,
RDS_DICT_REGIONS_NSO,27681379,En-Nasr,1257,,
RDS_DICT_REGIONS_NSO,27681389,El-Bassatine,1257,,
RDS_DICT_REGIONS_NSO,27681399,15-oct.,1257,,
RDS_DICT_REGIONS_NSO,13,Gouvernorat de Ben Arous,1,TN-13,
RDS_DICT_REGIONS_NSO,1351,Délégation de Ben Arous,13,,
RDS_DICT_REGIONS_NSO,27681409,Ben Arous Est,1351,,
RDS_DICT_REGIONS_NSO,27681419,Cité Ibn Arafa,1351,,
RDS_DICT_REGIONS_NSO,27681429,El Mehiri,1351,,
RDS_DICT_REGIONS_NSO,27681439,Ben Arous Ouest,1351,,
RDS_DICT_REGIONS_NSO,27681449,Sidi Ben Arous,1351,,
RDS_DICT_REGIONS_NSO,27681459,Cité El Iskane,1351,,
RDS_DICT_REGIONS_NSO,1352,Délégation de La Nouvelle Medina,13,,
RDS_DICT_REGIONS_NSO,27681469,La Nouvelle Medina(1),1352,,
RDS_DICT_REGIONS_NSO,27681479,La Nouvelle Medina(2),1352,,
RDS_DICT_REGIONS_NSO,27681489,Sidi Mosbah,1352,,
RDS_DICT_REGIONS_NSO,27681499,El Yasminet,1352,,
RDS_DICT_REGIONS_NSO,27681509,Errabta,1352,,
RDS_DICT_REGIONS_NSO,1353,Délégation de El Mourouj,13,,
RDS_DICT_REGIONS_NSO,27681519,El Mourouj (1),1353,,
RDS_DICT_REGIONS_NSO,27681529,El Mourouj (3),1353,,
RDS_DICT_REGIONS_NSO,27681539,El Mourouj (4),1353,,
RDS_DICT_REGIONS_NSO,27681549,El Mourouj (5),1353,,
RDS_DICT_REGIONS_NSO,27681559,Bir Kassaa,1353,,
RDS_DICT_REGIONS_NSO,27681569,Farhat Hached,1353,,
RDS_DICT_REGIONS_NSO,1354,Délégation de Hammam Lif,13,,
RDS_DICT_REGIONS_NSO,27681579,Hammam Lif Ville,1354,,
RDS_DICT_REGIONS_NSO,27681589,Hammem Lif Ville 2,1354,,
RDS_DICT_REGIONS_NSO,27681599,Hammem Lif Bou Kornine,1354,,
RDS_DICT_REGIONS_NSO,27681609,Farhat Hached,1354,,
RDS_DICT_REGIONS_NSO,27681619,Hammam Lif El Malaab,1354,,
RDS_DICT_REGIONS_NSO,27681629,Cité Mohamed Ali,1354,,
RDS_DICT_REGIONS_NSO,1355,Délégation de Hammam Chôtt,13,,
RDS_DICT_REGIONS_NSO,27681639,Bir El Bey,1355,,
RDS_DICT_REGIONS_NSO,27681649,Borj Cedria,1355,,
RDS_DICT_REGIONS_NSO,27681659,Hammem Chatt,1355,,
RDS_DICT_REGIONS_NSO,1356,Délégation de Bou Mhel El Bassatine,13,,
RDS_DICT_REGIONS_NSO,27681669,Bou Mhel,1356,,
RDS_DICT_REGIONS_NSO,27681679,El Bassatine,1356,,
RDS_DICT_REGIONS_NSO,27681689,Chêla,1356,,
RDS_DICT_REGIONS_NSO,27681699,El Bassatine El Gharbya,1356,,
RDS_DICT_REGIONS_NSO,1357,Délégation de Ezzahra,13,,
RDS_DICT_REGIONS_NSO,27681709,Ez-Zahra Ville,1357,,
RDS_DICT_REGIONS_NSO,27681719,Cité El Habib,1357,,
RDS_DICT_REGIONS_NSO,27681729,18-janv.,1357,,
RDS_DICT_REGIONS_NSO,27681739,Borj El Louzir,1357,,
RDS_DICT_REGIONS_NSO,1358,Délégation de Radès,13,,
RDS_DICT_REGIONS_NSO,27681749,Rades Ville,1358,,
RDS_DICT_REGIONS_NSO,27681759,Rades Mellaha,1358,,
RDS_DICT_REGIONS_NSO,27681769,Taieb Mehiri,1358,,
RDS_DICT_REGIONS_NSO,27681779,Rades Remada,1358,,
RDS_DICT_REGIONS_NSO,27681789,Mongi Slim,1358,,
RDS_DICT_REGIONS_NSO,27681799,Rades Foret,1358,,
RDS_DICT_REGIONS_NSO,27681809,Rades Meliane,1358,,
RDS_DICT_REGIONS_NSO,27681819,Noubou,1358,,
RDS_DICT_REGIONS_NSO,1359,Délégation de Megrine,13,,
RDS_DICT_REGIONS_NSO,27681829,Megrine Superieure,1359,,
RDS_DICT_REGIONS_NSO,27681839,Megrine Riadh,1359,,
RDS_DICT_REGIONS_NSO,27681849,Jawhara,1359,,
RDS_DICT_REGIONS_NSO,27681859,Menzel Mabrouk,1359,,
RDS_DICT_REGIONS_NSO,27681869,Megrine Chaker,1359,,
RDS_DICT_REGIONS_NSO,27681879,Megrine Chaker(2),1359,,
RDS_DICT_REGIONS_NSO,27681889,Sidi Rezig,1359,,
RDS_DICT_REGIONS_NSO,27681899,Sidi Rezig (2),1359,,
RDS_DICT_REGIONS_NSO,1360,Délégation de Mohamedia,13,,
RDS_DICT_REGIONS_NSO,27681909,Mohamedia,1360,,
RDS_DICT_REGIONS_NSO,27681919,Mongi Selim,1360,,
RDS_DICT_REGIONS_NSO,27681929,Cité Es-Saada,1360,,
RDS_DICT_REGIONS_NSO,27681939,Cité El Nassim,1360,,
RDS_DICT_REGIONS_NSO,27681949,Sidi Frej,1360,,
RDS_DICT_REGIONS_NSO,1361,Délégation de Fouchana,13,,
RDS_DICT_REGIONS_NSO,27681959,Fouchana,1361,,
RDS_DICT_REGIONS_NSO,27681969,Cité El Mostakbel,1361,,
RDS_DICT_REGIONS_NSO,27681979,El Hidhab,1361,,
RDS_DICT_REGIONS_NSO,27681989,El Moghira,1361,,
RDS_DICT_REGIONS_NSO,27681999,Nâassen,1361,,
RDS_DICT_REGIONS_NSO,27682009,Chebeda,1361,,
RDS_DICT_REGIONS_NSO,27682019,Douar ElHouch,1361,,
RDS_DICT_REGIONS_NSO,1362,Délégation de Mornag,13,,
RDS_DICT_REGIONS_NSO,27682029,Mornag,1362,,
RDS_DICT_REGIONS_NSO,27682039,Mornag Ouest,1362,,
RDS_DICT_REGIONS_NSO,27682049,Khelidia,1362,,
RDS_DICT_REGIONS_NSO,27682059,Ez-Zaouia,1362,,
RDS_DICT_REGIONS_NSO,27682069,Djebel Ressas,1362,,
RDS_DICT_REGIONS_NSO,27682079,Sidi Salem El Garsi,1362,,
RDS_DICT_REGIONS_NSO,27682089,Kabouti,1362,,
RDS_DICT_REGIONS_NSO,27682099,Ain Rekad,1362,,
RDS_DICT_REGIONS_NSO,27682109,El Gounna,1362,,
RDS_DICT_REGIONS_NSO,27682119,Sidi Saad,1362,,
RDS_DICT_REGIONS_NSO,27682129,Essalem,1362,,
RDS_DICT_REGIONS_NSO,27682139,Errisala,1362,,
RDS_DICT_REGIONS_NSO,27682149,Oudna,1362,,
RDS_DICT_REGIONS_NSO,27682159,El Kessibi,1362,,
RDS_DICT_REGIONS_NSO,14,Gouvernorat de Manouba,1,TN-14,
RDS_DICT_REGIONS_NSO,1451,Délégation de Mannouba,14,,
RDS_DICT_REGIONS_NSO,27682169,Manouba,1451,,
RDS_DICT_REGIONS_NSO,27682179,Manouba Centre,1451,,
RDS_DICT_REGIONS_NSO,27682189,Sidi Amor,1451,,
RDS_DICT_REGIONS_NSO,27682199,Den- Den,1451,,
RDS_DICT_REGIONS_NSO,27682209,Ksar - Said,1451,,
RDS_DICT_REGIONS_NSO,27682219,Den - Den Sud,1451,,
RDS_DICT_REGIONS_NSO,1452,Délégation de Douar Hicher,14,,
RDS_DICT_REGIONS_NSO,27682229,Douar Hicher,1452,,
RDS_DICT_REGIONS_NSO,27682239,Khaled Ibn El Oualid,1452,,
RDS_DICT_REGIONS_NSO,27682249,Cité Er- Riadh,1452,,
RDS_DICT_REGIONS_NSO,27682259,Cité Ennassim,1452,,
RDS_DICT_REGIONS_NSO,27682269,Cité Ech - Chabeb,1452,,
RDS_DICT_REGIONS_NSO,1453,Délégation de Oued Ellil,14,,
RDS_DICT_REGIONS_NSO,27682279,Oued Ellil,1453,,
RDS_DICT_REGIONS_NSO,27682289,Es Saida,1453,,
RDS_DICT_REGIONS_NSO,27682299,Er Riadh,1453,,
RDS_DICT_REGIONS_NSO,27682309,Cité El Ouerd,1453,,
RDS_DICT_REGIONS_NSO,27682319,Ennajet,1453,,
RDS_DICT_REGIONS_NSO,27682329,Sanhaja,1453,,
RDS_DICT_REGIONS_NSO,27682339,El Kobbâa,1453,,
RDS_DICT_REGIONS_NSO,1454,Délégation de Mornaguia,14,,
RDS_DICT_REGIONS_NSO,27682349,Mornaguia,1454,,
RDS_DICT_REGIONS_NSO,27682359,20-mars,1454,,
RDS_DICT_REGIONS_NSO,27682369,Bouragba,1454,,
RDS_DICT_REGIONS_NSO,27682379,El Fejja,1454,,
RDS_DICT_REGIONS_NSO,27682389,Sidi Ali El Hattab,1454,,
