dimension_id,KEY,NAME,parent_key,C_UNIT_,ISCALCULATED,FULLNAME,DESCRIPTION,VISIBILITY,C_CODE,C_DERNI_RE_MISE___JOUR,C_PERIODICIT_,C_SOURCE,C_M_THODOLOGIE,C_CAT_GORIE,C_COMMENTAIRE,C_ORGANISATION_CHEF_DE_FILE
OBJ10027429,28529019,En multiple de SMIG,28528999,Pourcentage,,"Ecart de salaire entre les femmes et les hommes,  dans les micro-entreprises\En multiple de SMIG",,"1, 2",IndEmp9,13/11/2020 11:29:52,Quinquennale,Insitut National de la Statistique,,1,,Insitut National de la Statistique
OBJ10027429,28529029,Ecart entre femmes et hommes (salaires féminins en % des salaires masculins),,Pourcentage,,Ecart entre femmes et hommes (salaires féminins en % des salaires masculins),,"1, 2",,13/11/2020 11:29:52,Quinquennale,Insitut National de la Statistique,,,,
OBJ10027429,28529039,Le gap de salaire entre femme et homme dans le secteur non structuré (1997 - 2016),,Pourcentage,,Le gap de salaire entre femme et homme dans le secteur non structuré (1997 - 2016),,"1, 2",,13/11/2020 11:29:52,Quinquennale,Insitut National de la Statistique,,,,
OBJ10027429,28529049,"Emplois,Masse Salariale Mensuelle et Salaire Mensuel Moyen des Salariés par groupe d' âge, Niveau d'instruction, branche d'activité, statut dans l'emploi",,,,"Emplois,Masse Salariale Mensuelle et Salaire Mensuel Moyen des Salariés par groupe d' âge, Niveau d'instruction, branche d'activité, statut dans l'emploi",,"1, 2",IndEmp10,13/11/2020 11:29:52,Quinquennale,Insitut National de la Statistique,,1,,Insitut National de la Statistique
OBJ10027429,28529059,Nombre d'emplois,28529049,Nombre,,"Emplois,Masse Salariale Mensuelle et Salaire Mensuel Moyen des Salariés par groupe d' âge, Niveau d'instruction, branche d'activité, statut dans l'emploi\Nombre d'emplois",,"1, 2",IndEmp11,13/11/2020 11:29:52,Quinquennale,Insitut National de la Statistique,,1,,Insitut National de la Statistique
OBJ10027429,28529069,Masse Salariale Mensuelle,28529049,En Dinars Tunisien,,"Emplois,Masse Salariale Mensuelle et Salaire Mensuel Moyen des Salariés par groupe d' âge, Niveau d'instruction, branche d'activité, statut dans l'emploi\Masse Salariale Mensuelle",,"1, 2",IndEmp12,13/11/2020 11:29:52,Quinquennale,Insitut National de la Statistique,,1,,Insitut National de la Statistique
OBJ10027429,28529079,Salaire Moyen,28529049,En Dinars Tunisien,,"Emplois,Masse Salariale Mensuelle et Salaire Mensuel Moyen des Salariés par groupe d' âge, Niveau d'instruction, branche d'activité, statut dans l'emploi\Salaire Moyen",,"1, 2",IndEmp13,13/11/2020 11:29:52,Quinquennale,Insitut National de la Statistique,,1,,Insitut National de la Statistique
OBJ10027429,28529089,Nombre moyen d'heures consacrées à des travaux rémunérés et des travaux non rémunérés et des activités sociales et associatives,,Heure,,Nombre moyen d'heures consacrées à des travaux rémunérés et des travaux non rémunérés et des activités sociales et associatives,,"1, 2",IndEmp14,13/11/2020 11:29:52,Non-répétitive,Insitut National de la Statistique,,1,,Insitut National de la Statistique
OBJ10027429,28529099,Nombre moyen d’heures consacrées à des travaux domestiques non rémunérés,28529089,Heure,,Nombre moyen d’heures consacrées à des travaux rémunirés et des travaux non rémunérés et des activités sociales et associatives\Nombre moyen d’heures consacrées à des travaux domestiques non rémunérés,,"1, 2",IndEmp15,13/11/2020 11:29:52,Non-répétitive,Insitut National de la Statistique,,1,,Insitut National de la Statistique
OBJ10027429,28529109,Nombre moyen d’heures consacrées à un travail rémunéré et à des travaux non rémunérés,28529089,Heure,,Nombre moyen d’heures consacrées à des travaux rémunirés et des travaux non rémunérés et des activités sociales et associatives\Nombre moyen d’heures consacrées à un travail rémunéré et à des travaux non rémunérés,,"1, 2",IndEmp16,13/11/2020 11:29:52,Non-répétitive,Insitut National de la Statistique,,1,,Insitut National de la Statistique
OBJ10027429,28529119,Nombre moyen d'heures consacrées à une activité sociales et associatives,28529089,Heure,,Nombre moyen d’heures consacrées à des travaux rémunirés et des travaux non rémunérés et des activités sociales et associatives\Nombre moyen d'heures consacrées à une activité sociales et associatives,,"1, 2",IndEmp17,13/11/2020 11:29:52,Non-répétitive,Insitut National de la Statistique,,1,,Insitut National de la Statistique
OBJ10027429,28529129,Nombre moyen d’heures consacrées aux travaux domestiques et aux soins non rémunérés,,Heure,,Nombre moyen d’heures consacrées aux travaux domestiques et aux soins non rémunérés,,"1, 2",IndEmp18,13/11/2020 11:29:52,Non-répétitive,Insitut National de la Statistique,,1,,Insitut National de la Statistique
