source_id,source_name,dimension_id,dimension_name,element_key,element_name
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524509,Oranges
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524519,Mandarines
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524529,"Tangerines, Clémentines"
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524539,"Citrons, Citrons verts"
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524559,"Autres agrumes, n.d.a."
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524569,Total raisins
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524579,Raisins de table Pour la table
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524589,Raisins de cuve Pour jus et vinification
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524599,Total olives
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524609,Olives de table
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524629,Olives à huile
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524639,Dattes
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524649,Total plantes industrielles
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524659,Toutes plantes textiles
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524669,Tabac brut
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524679,Total fourrages
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524689,Production récoltée
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524699,Total céréale
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524709,Céréales (sans riz)
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524719,Blé tendre et épeautres
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524729,Blé dur
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524749,Orge
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524769,Triticale
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524789,Total plantes sarclées
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524799,Pommes de terre
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524809,Betteraves sucrières
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524829,"Total légumes frais, incluant les jardins familiaux"
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524839,Légumes frais excluant les jardins familiaux
